frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
11,114676.937,0.02007227949798107,-1.002451767428969e-11,-0.922086238861084,-1.4277798620442933e-09,0.06952697783708572,-4.907504264073381e-11,0.042119402438402176,0.14443784177303315,1.19926111038836e-11,trajectory,STRAIGHT,3.5248396396636963,-0.02006656806335627,0.0004789156128289635
12,114677.031,0.025804748758673668,-1.429322459001181e-11,-0.9189240336418152,-1.6297314568589063e-09,0.07732582092285156,-6.039026223536581e-11,0.03900331258773804,0.14381393432617187,3.0392408948709095e-11,trajectory,STRAIGHT,3.5248396396636963,-0.02579740719130541,0.0006156897645178398
13,114677.156,0.03390595689415932,-2.0983936810381465e-11,-0.9152441620826721,-1.5851160690354355e-09,0.08613159507513046,-7.478268004845745e-11,0.03539557754993439,0.14310947239398955,-1.0016274708268681e-11,trajectory,STRAIGHT,3.5225939750671387,-0.03389631235939561,0.0008089809652596044
14,114677.234,0.04059140756726265,-2.7005049238471024e-11,-0.9126842617988586,-1.4724028206884107e-09,0.09203658252954483,-8.580706978289498e-11,0.032898686826229095,0.1426370733976364,-1.5630209549968963e-11,trajectory,STRAIGHT,3.5223934650421143,-0.04057986319870821,0.0009684928260149025
15,114677.281,0.044521406292915344,-3.074066348696114e-11,-0.9113302826881409,-1.3244670459504345e-09,0.09507112950086594,-9.209704526780271e-11,0.03158319368958473,0.14239430963993072,-2.9200933553693333e-11,trajectory,STRAIGHT,3.5228323936462402,-0.0445087454019486,0.0010622608364058747
16,114677.343,0.04945889487862587,-3.563664294214952e-11,-0.9097587466239929,-1.2587199190724797e-09,0.09850680828094482,-9.994098604249047e-11,0.030060919001698494,0.1421194553375244,-8.630725921978453e-12,trajectory,STRAIGHT,3.5228323936462402,-0.049444831531261,0.0011800671036679346
17,114677.375,0.05124245584011078,-3.746106549962214e-11,-0.9092223644256592,-1.2305427613290839e-09,0.09965696185827255,-1.0277476786280104e-10,0.029542429372668266,0.1420274430513382,-1.113603296118812e-11,trajectory,STRAIGHT,3.5234029293060303,-0.05122788596683847,0.0012226220696964633
18,114677.437,0.05795252323150635,-4.459530314471216e-11,-0.9073333144187927,-1.1507086681232276e-09,0.10360624641180038,-1.1350501788465195e-10,0.02772178314626217,0.14171150028705595,-1.7993151119976374e-11,trajectory,STRAIGHT,3.5234029293060303,-0.05793604810503439,0.0013827212732415053
19,114677.484,0.06108596548438072,-4.807635192727311e-11,-0.9065136313438416,-1.0497388851556814e-09,0.10527205467224121,-1.1858311554924228e-10,0.026934105902910233,0.14157823562622068,-9.431807337057234e-12,trajectory,STRAIGHT,3.5239627361297607,-0.061068600858497746,0.0014574838022557138
20,114677.562,0.06978388130664825,-5.826022997368341e-11,-0.9044142961502075,-7.679649780151162e-10,0.10939809679985046,-1.3306968027482213e-10,0.02492763102054596,0.14124815225601195,-3.3892021330638175e-11,trajectory,STRAIGHT,3.5239627361297607,-0.06976404827373983,0.0016650121783719947
21,114677.671,0.08083687722682953,-7.238711019486033e-11,-0.9020587801933289,-4.0166182363820785e-10,0.11377455294132233,-1.5272287601231227e-10,0.022695990279316902,0.1408980357646942,-2.70996655378274e-11,trajectory,STRAIGHT,3.524303913116455,-0.0808139089069897,0.00192873170970542
22,114677.765,0.09018119424581528,-8.547545310433335e-11,-0.9002886414527893,-1.1754329593710176e-10,0.11687716841697693,-1.7074970604102901e-10,0.02103620208799839,0.14064982652664185,-1.4651928385592482e-11,trajectory,STRAIGHT,3.524362325668335,-0.09015557660902829,0.0021516829267345227
